Max degree of separation: 14 between James Whitmore and Donald Burton
Total degree of separation: 434216 between 87641 total pairs
Graph avg degree of separation: 4.954484773108477
50 Cent, avg degree separation 4.461016949152542
Jeff Fahey, avg degree separation 4.576271186440678
Jennifer Beals, avg degree separation 6.1084745762711865
Jennifer Edwards, avg degree separation 4.589830508474576
Jeremy Irons, avg degree separation 4.522033898305085
Jeremy Piven, avg degree separation 4.406779661016949
Jessica Alba, avg degree separation 4.379661016949153
Jessica Lowndes, avg degree separation 4.461016949152542
Jessica Tandy, avg degree separation 6.176271186440678
Jet Li, avg degree separation 4.48135593220339
Jimmy Bennett, avg degree separation 6.5152542372881355
John Amos, avg degree separation 4.48135593220339
John Cusack, avg degree separation 4.271186440677966
John Forsythe, avg degree separation 5.905084745762712
John Larroquette, avg degree separation 4.603389830508474
John Malkovich, avg degree separation 4.433898305084746
John Pankow, avg degree separation 4.549152542372881
John Ritter, avg degree separation 4.264406779661017
John Travolta, avg degree separation 4.271186440677966
John Turturro, avg degree separation 4.447457627118644
Johnathon Schaech, avg degree separation 4.589830508474576
Jon Lovitz, avg degree separation 4.311864406779661
Jonathan Pryce, avg degree separation 4.569491525423729
Jonathan Tucker, avg degree separation 6.5152542372881355
Jonathon Schaech, avg degree separation 4.461016949152542
Joseph Gordon-Levitt, avg degree separation 4.372881355932203
Josh Brolin, avg degree separation 4.366101694915254
Josh Duhamel, avg degree separation 4.603389830508474
Josh Hartnett, avg degree separation 4.440677966101695
Julia Louis-Dreyfus, avg degree separation 4.386440677966101
Juno Temple, avg degree separation 4.406779661016949
Justin Long, avg degree separation 4.589830508474576
Justin Theroux, avg degree separation 6.176271186440678
Karina Lombard, avg degree separation 4.5288135593220336
Karl Urban, avg degree separation 4.494915254237288
Kate Hudson, avg degree separation 4.576271186440678
Kath Soucie, avg degree separation 7.559322033898305
Kathleen Quinlan, avg degree separation 4.589830508474576
Kathy Bates, avg degree separation 4.386440677966101
Kathy Ireland, avg degree separation 5.905084745762712
Keith David, avg degree separation 4.5152542372881355
Ken Hudson Campbell, avg degree separation 4.501694915254237
Kevin J. O%27Connor (actor), avg degree separation undefined
Kevin Pollak, avg degree separation 4.5423728813559325
Kevin Smith, avg degree separation 4.589830508474576
Kim Basinger, avg degree separation 4.603389830508474
Kim Dickens, avg degree separation 4.603389830508474
Kirstie Alley, avg degree separation 4.47457627118644
Kristen Stewart, avg degree separation 4.447457627118644
Lacey Chabert, avg degree separation 7.559322033898305
Lance Henriksen, avg degree separation 4.589830508474576
Larry Bryggman, avg degree separation 4.522033898305085
Lee Byung-hun, avg degree separation 4.569491525423729
Leem Lubany, avg degree separation 4.576271186440678
Lesley Ann Warren, avg degree separation 4.589830508474576
Liam Hemsworth, avg degree separation 4.5423728813559325
Lili Taylor, avg degree separation 6.013559322033898
Lily Tomlin, avg degree separation 4.596610169491526
Liv Tyler, avg degree separation 4.5152542372881355
Loren Dean, avg degree separation 4.562711864406779
Lucy Liu, avg degree separation 4.372881355932203
Lukas Haas, avg degree separation 4.501694915254237
Madeleine Stowe, avg degree separation 4.596610169491526
Madonna (entertainer), avg degree separation 6.1084745762711865
Magda Szubanski, avg degree separation 2.0
Maggie Q, avg degree separation 4.589830508474576
Malcolm McDowell, avg degree separation 4.589830508474576
Marcel Iure%C5%9F, avg degree separation undefined
Maria de Medeiros, avg degree separation 4.3254237288135595
Mariel Hemingway, avg degree separation 4.589830508474576
